Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
71,-62.7227,127.0392,1.3264,245.4465,0.5512,-1.2065,-0.1197
70,-62.7308,126.7595,1.3718,232.3486,0.8380,-1.0861,-0.1312
69,-62.7295,126.4934,1.5811,209.7204,1.3731,-0.7839,-0.1823
68,-62.7278,126.2275,1.9707,194.2690,1.9099,-0.4857,-0.2549
67,-62.7168,125.9342,2.4644,184.2384,2.4576,-0.1821,-0.3231
66,-62.7004,125.6301,3.0157,177.7460,3.0134,0.1186,-0.3895
65,-62.6824,125.3275,3.5971,173.4254,3.5735,0.4119,-0.4579
64,-62.6628,125.0263,4.1962,170.4301,4.1378,0.6976,-0.5274
63,-62.6701,124.7513,4.7913,168.5746,4.6963,0.9491,-0.5914
62,-62.9343,124.6969,5.1316,168.2589,5.0242,1.0442,-0.6113
61,-63.1987,124.6361,5.3160,168.5095,5.2094,1.0590,-0.6169
60,-63.4631,124.5686,5.4338,168.9670,5.3334,1.0399,-0.6165
59,-63.9468,124.8621,4.8808,170.1846,4.8094,0.8321,-0.5500
58,-64.4324,125.1531,4.3284,171.6359,4.2824,0.6296,-0.4837
57,-64.9198,125.4414,3.7774,173.4235,3.7526,0.4326,-0.4176
56,-65.4089,125.7272,3.2289,175.7187,3.2198,0.2410,-0.3520
55,-65.8998,126.0102,2.6849,178.8284,2.6843,0.0549,-0.2870
54,-66.3925,126.2905,2.1498,183.3551,2.1461,-0.1258,-0.2231
53,-66.9057,126.5412,1.7329,184.5531,1.7274,-0.1376,-0.1709
52,-67.4645,126.7282,1.2956,183.5549,1.2931,-0.0803,-0.1228
51,-67.8942,126.7363,1.0033,176.9717,1.0019,0.0530,-0.0913
50,-68.2686,126.6624,0.8047,164.2345,0.7744,0.2186,-0.0728
49,-68.2782,126.5409,1.1909,167.2484,1.1615,0.2629,-0.1173
48,-68.2873,126.4194,1.5797,168.8633,1.5499,0.3051,-0.1665
47,-68.2959,126.2979,1.9701,169.9033,1.9396,0.3454,-0.2174
46,-68.3040,126.1765,2.3618,170.6523,2.3305,0.3836,-0.2690
45,-68.3116,126.0551,2.7548,171.2338,2.7226,0.4198,-0.3209
44,-68.3188,125.9338,3.1489,171.7103,3.1160,0.4540,-0.3732
43,-68.4563,126.1787,3.4186,174.1340,3.4007,0.3494,-0.4150
42,-68.6257,126.5193,4.0291,178.3300,4.0274,0.1174,-0.4705
41,-68.7943,126.8647,4.6574,181.3166,4.6561,-0.1070,-0.5281
40,-68.9633,127.2111,5.2952,183.4777,5.2855,-0.3212,-0.5854
39,-69.3193,127.2219,5.5945,183.8214,5.5820,-0.3728,-0.5981
38,-69.6756,127.2389,5.8936,184.1212,5.8784,-0.4235,-0.6122
37,-70.0321,127.2625,6.1926,184.3823,6.1745,-0.4732,-0.6276
36,-70.3889,127.2929,6.4915,184.6091,6.4705,-0.5216,-0.6442
35,-70.7458,127.3306,6.7903,184.8047,6.7664,-0.5688,-0.6619
34,-71.1030,127.3758,7.0889,184.9719,7.0623,-0.6144,-0.6807
33,-71.4985,127.4015,7.3443,185.0937,7.3153,-0.6521,-0.6971
32,-72.2382,127.1757,7.2114,185.0370,7.1835,-0.6331,-0.6853
31,-72.9775,126.9382,7.0785,184.9889,7.0517,-0.6156,-0.6735
30,-73.7166,126.6875,6.9365,184.8480,6.9117,-0.5862,-0.6612
29,-74.3395,126.5084,6.7983,184.0394,6.7814,-0.4789,-0.6524
28,-74.9622,126.3205,6.6618,183.1978,6.6515,-0.3716,-0.6440
27,-75.5846,126.1225,6.5272,182.3224,6.5218,-0.2645,-0.6360
26,-76.2068,125.9131,6.3946,181.4124,6.3927,-0.1576,-0.6284
25,-76.8287,125.6906,6.2642,180.4673,6.2640,-0.0511,-0.6212
24,-77.4502,125.4530,6.1361,179.4868,6.1358,0.0550,-0.6144
23,-78.0715,125.1980,6.0105,178.4709,6.0084,0.1604,-0.6080
22,-78.6924,124.9226,5.8877,177.4204,5.8818,0.2650,-0.6021
21,-79.3130,124.6233,5.7679,176.3365,5.7561,0.3685,-0.5966
20,-79.9262,124.3666,5.6797,176.1260,5.6668,0.3837,-0.5915
19,-80.4337,124.6585,5.6618,176.9284,5.6536,0.3034,-0.5878
18,-80.9403,124.9920,5.6464,177.7026,5.6419,0.2263,-0.5842
17,-81.4460,125.3744,5.6337,178.4404,5.6316,0.1533,-0.5809
16,-81.9508,125.8147,5.6238,179.1314,5.6231,0.0853,-0.5779
15,-82.4544,126.3245,5.6166,179.7629,5.6165,0.0232,-0.5751
14,-82.9568,126.9183,5.6122,180.3189,5.6122,-0.0312,-0.5726
13,-83.4577,127.6152,5.6108,180.7790,5.6103,-0.0763,-0.5704
12,-83.9568,128.4404,5.6122,181.1167,5.6112,-0.1094,-0.5685
11,-84.4538,129.4277,5.6166,181.2966,5.6152,-0.1271,-0.5668
10,-84.9830,129.8289,5.5852,181.2860,5.5838,-0.1254,-0.5637
9,-85.4854,129.7788,5.0258,181.1563,5.0248,-0.1014,-0.5072
8,-85.9877,129.7290,4.4667,181.0268,4.4659,-0.0800,-0.4507
7,-86.4897,129.6792,3.9077,180.8976,3.9072,-0.0612,-0.3943
6,-86.9917,129.6295,3.3489,180.7686,3.3486,-0.0449,-0.3378
5,-87.4934,129.5800,2.7903,180.6399,2.7901,-0.0312,-0.2814
4,-87.9951,129.5306,2.2319,180.5114,2.2318,-0.0199,-0.2251
3,-88.4965,129.4813,1.6736,180.3832,1.6736,-0.0112,-0.1688
2,-88.9978,129.4321,1.1156,180.2552,1.1156,-0.0050,-0.1125
1,-89.4990,129.3830,0.5577,180.1275,0.5577,-0.0012,-0.0562
0,-90.0000,0.0000,0.0000,270.0000,0.0000,0.0000,0.0000
