Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,-54.2738,169.8441,5.5808,24.4523,-5.0802,2.3101,-0.5067
199,-53.8168,170.1951,5.5891,18.0477,-5.3141,1.7315,-0.5083
198,-53.3585,170.5375,5.6598,11.7312,-5.5416,1.1508,-0.5155
197,-52.8990,170.8717,5.7910,5.6278,-5.7631,0.5679,-0.5280
196,-52.4383,171.1979,5.9787,359.8384,-5.9787,-0.0169,-0.5454
195,-51.9766,171.5164,6.2180,354.4313,-6.1887,-0.6034,-0.5673
194,-51.5137,171.8274,5.8249,345.9605,-5.6509,-1.4131,-0.5311
193,-51.0497,172.1312,5.5657,336.5356,-5.1054,-2.2161,-0.5068
192,-50.5848,172.4281,5.4591,326.5046,-4.5525,-3.0127,-0.4960
191,-50.1189,172.7182,5.5138,316.3928,-3.9925,-3.8030,-0.4996
190,-49.6520,173.0018,5.7250,306.7533,-3.4257,-4.5870,-0.5173
189,-49.0080,172.5136,4.9486,299.4718,-2.4347,-4.3083,-0.4460
188,-48.3626,172.0360,4.2880,289.6387,-1.4411,-4.0385,-0.3856
187,-47.7158,171.5685,3.8033,276.7227,-0.4452,-3.7772,-0.3417
186,-47.0678,171.1106,3.5667,261.0844,0.5528,-3.5236,-0.3212
185,-46.4186,170.6618,3.6265,244.6504,1.5527,-3.2773,-0.3286
184,-46.4310,169.9294,3.3515,237.4854,1.8015,-2.8261,-0.3050
183,-46.4385,169.1968,3.1466,229.1460,2.0583,-2.3800,0.2880
182,-46.4411,168.4640,3.0259,219.8515,2.3230,-1.9390,0.2787
181,-46.4390,167.7312,2.9995,210.0776,2.5956,-1.5033,0.2780
180,-46.4320,166.9985,3.0696,200.4583,2.8760,-1.0729,0.2858
179,-46.6902,166.8577,3.0696,200.6358,2.8726,-1.0818,0.2858
178,-46.9481,166.7151,3.0696,200.8150,2.8692,-1.0908,0.2858
177,-47.2057,166.5706,3.0696,200.9961,2.8658,-1.0998,0.2858
176,-47.4630,166.4242,3.0696,201.1791,2.8623,-1.1090,0.2858
175,-47.7200,166.2759,3.0696,201.3639,2.8587,-1.1182,0.2858
174,-47.9766,166.1256,2.9126,195.5733,2.8057,-0.7820,0.2714
173,-48.2329,165.9733,2.7903,189.1843,2.7545,-0.4454,0.2600
172,-48.4889,165.8189,2.7073,182.2955,2.7052,-0.1084,0.2520
171,-48.7445,165.6625,2.6675,175.0798,2.6577,0.2288,0.2478
170,-48.9998,165.5040,2.6728,167.7677,2.6122,0.5663,0.2476
169,-49.2547,165.3433,2.6370,174.1550,2.6233,0.2685,0.2386
168,-49.5093,165.1804,2.6328,180.5774,2.6327,-0.0265,0.2365
167,-49.7635,165.0153,2.6596,186.8863,2.6404,-0.3189,0.2416
166,-50.0173,164.8480,2.7155,192.9488,2.6465,-0.6085,0.2535
165,-50.2707,164.6783,2.7979,198.6629,2.6508,-0.8953,0.2712
164,-50.4873,164.9970,3.0922,209.2064,2.6991,-1.5089,0.3082
163,-50.7031,165.3183,3.4721,217.6165,2.7503,-2.1193,0.3531
162,-50.9183,165.6423,3.9113,224.1930,2.8044,-2.7265,0.4033
161,-51.1327,165.9690,4.3909,229.3317,2.8615,-3.3305,0.4571
160,-51.3464,166.2984,4.8979,233.3818,2.9215,-3.9312,0.5132
159,-51.6113,165.7221,5.0659,239.0563,2.6049,-4.3449,0.5386
158,-51.8743,165.1430,5.2561,243.7626,2.3237,-4.7145,0.5632
157,-52.1355,164.5609,5.2858,243.1166,2.3901,-4.7145,0.5518
156,-52.3948,163.9758,5.3192,242.5266,2.4540,-4.7194,0.5416
155,-52.6522,163.3878,5.3562,241.9934,2.5151,-4.7290,0.5326
154,-52.9076,162.7969,5.3965,241.5176,2.5735,-4.7434,0.5249
153,-53.1612,162.2029,5.4400,241.0995,2.6291,-4.7625,0.5187
152,-53.4129,161.6061,5.4865,240.7390,2.6818,-4.7865,0.5141
151,-53.6625,161.0062,5.5359,240.4360,2.7314,-4.8151,0.5111
150,-53.9103,160.4034,5.5802,241.2380,2.6850,-4.8917,0.5098
149,-53.8750,159.1969,4.9081,234.0757,2.8796,-3.9745,0.4434
148,-53.8687,158.0484,4.3510,225.4212,3.0539,-3.0992,0.3909
147,-54.1774,157.4071,3.8563,221.2989,2.8972,-2.5451,0.3467
146,-54.4815,156.7545,3.3974,215.8982,2.7521,-1.9921,0.3059
145,-54.7806,156.0904,2.9880,208.7727,2.6190,-1.4382,0.2699
144,-55.0748,155.4148,2.6495,199.4384,2.4985,-0.8817,0.2407
143,-55.3637,154.7276,2.3680,193.0626,2.3067,-0.5352,0.2181
142,-55.6474,154.0286,2.1383,184.8113,2.1307,-0.1793,0.2016
141,-55.9256,153.3178,2.0436,173.7636,2.0315,0.2220,0.1983
140,-56.1126,152.5426,2.1416,162.1314,2.0383,0.6571,0.2103
139,-56.3134,152.7716,2.0098,169.7786,1.9779,0.3566,0.1968
138,-56.5135,153.0025,1.9208,178.3290,1.9200,0.0560,0.1869
137,-56.7148,153.2455,1.8795,187.6657,1.8627,-0.2507,0.1810
136,-56.9152,153.4843,1.9209,194.8819,1.8565,-0.4933,0.1820
135,-57.1147,153.7218,2.0026,200.7008,1.8733,-0.7079,0.1867
134,-57.3134,153.9613,2.0715,204.6888,1.8821,-0.8652,0.1893
133,-57.4349,153.8508,2.1252,202.0165,1.9702,-0.7967,0.1912
132,-57.5620,153.7474,2.1798,199.6551,2.0528,-0.7332,0.1963
131,-57.7486,153.7138,2.1889,198.9305,2.0705,-0.7101,0.2002
130,-57.9342,153.6800,2.1601,203.3233,1.9836,-0.8552,0.2004
129,-58.0864,153.4006,2.2823,208.5221,2.0053,-1.0898,0.2084
128,-58.2379,153.1186,2.4176,213.1916,2.0231,-1.3235,0.2185
127,-58.3888,152.8341,2.5635,217.3783,2.0371,-1.5562,0.2306
126,-58.5825,152.6503,2.7219,222.6757,2.0012,-1.8451,0.2445
125,-58.7947,152.5086,2.9022,228.0007,1.9419,-2.1568,0.2614
124,-58.9980,152.4623,3.1513,233.1337,1.8906,-2.5211,0.2860
123,-59.1982,152.4565,3.4404,237.6618,1.8403,-2.9068,0.3162
122,-59.3990,152.4495,3.7438,241.5073,1.7860,-3.2903,0.3489
121,-59.6005,152.4413,4.0579,244.8029,1.7276,-3.6718,0.3835
120,-59.7039,152.1417,4.2762,245.6395,1.7638,-3.8955,-0.4065
119,-59.8702,151.4386,3.7736,247.5725,1.4397,-3.4882,-0.3595
118,-60.0315,150.7307,3.2752,249.9488,1.1229,-3.0767,-0.3127
117,-60.1878,150.0181,2.7826,252.9966,0.8137,-2.6609,0.2664
116,-60.3391,149.3010,2.2989,257.1268,0.5122,-2.2411,0.2207
115,-60.4852,148.5797,1.8303,263.1439,0.2185,-1.8172,0.1762
114,-60.6261,147.8543,1.3909,272.7699,-0.0672,-1.3893,0.1340
113,-60.7619,147.1251,1.0177,289.8036,-0.3448,-0.9576,0.0973
112,-60.8925,146.3924,0.8060,319.6373,-0.6142,-0.5220,0.0745
111,-61.0180,145.6562,0.8791,354.5977,-0.8752,-0.0828,0.0790
110,-61.1381,144.9170,1.1838,17.7078,-1.1277,0.3601,0.1073
109,-61.0434,144.9847,1.0410,358.1688,-1.0405,-0.0333,0.0940
108,-60.9471,145.0519,0.7932,345.8970,-0.7693,-0.1933,0.0713
107,-60.8493,145.1186,0.6101,324.6940,-0.4979,-0.3526,0.0555
106,-60.7500,145.1846,0.5590,293.8750,-0.2263,-0.5112,0.0534
105,-60.6492,145.2501,0.6707,266.1143,0.0454,-0.6691,0.0661
104,-60.5469,145.3150,0.8852,248.9993,0.3172,-0.8264,-0.0872
103,-60.4432,145.3793,1.1459,239.0684,0.5890,-0.9829,-0.1121
102,-60.3381,145.4431,1.4276,232.9173,0.8608,-1.1389,-0.1387
101,-60.2317,145.5062,1.7197,228.8120,1.1325,-1.2942,-0.1660
100,-60.1239,145.5688,2.0175,225.8992,1.4041,-1.4488,-0.1938
99,-60.1087,144.9232,2.0684,225.1269,1.4593,-1.4658,-0.2189
98,-60.2556,144.7020,2.1744,232.0854,1.3361,-1.7154,-0.2338
97,-60.4003,144.4780,2.3074,238.3465,1.2109,-1.9641,-0.2509
96,-60.5427,144.2515,2.4630,243.9014,1.0835,-2.2118,-0.2696
95,-60.6829,144.0222,2.6372,248.7917,0.9540,-2.4586,-0.2898
94,-60.8209,143.7904,2.8266,253.0848,0.8224,-2.7043,-0.3110
93,-60.9567,143.5560,3.2995,253.9611,0.9116,-3.1711,0.3680
92,-61.0901,143.3191,4.0503,252.4972,1.2181,-3.8628,-0.4606
91,-61.2213,143.0797,4.8044,251.5854,1.5177,-4.5584,-0.5537
90,-61.3502,142.8379,5.5608,251.0032,1.8101,-5.2580,-0.6470
89,-61.3782,142.1462,6.0635,249.6751,2.1061,-5.6860,-0.7107
88,-61.4001,141.4537,6.0844,249.6511,2.1158,-5.7047,-0.7091
87,-61.4158,140.7607,6.1073,249.6118,2.1277,-5.7247,-0.7077
86,-61.4254,140.0677,6.1196,249.6464,2.1285,-5.7376,-0.6988
85,-61.4289,139.3749,6.0076,249.6862,2.0856,-5.6340,-0.6647
84,-61.4263,138.6827,5.8022,249.4701,2.0348,-5.4337,-0.6236
83,-61.5891,137.5290,5.3062,250.7611,1.7484,-5.0099,-0.5479
82,-61.8990,135.8819,4.5184,253.7951,1.2610,-4.3388,-0.4406
81,-62.1776,134.1958,3.7323,257.1242,0.8317,-3.6384,-0.3431
80,-62.4238,132.4739,2.9485,260.9475,0.4639,-2.9118,-0.2662
79,-62.6127,130.8336,2.2215,265.3169,0.1814,-2.2141,-0.2327
78,-62.6413,130.0937,1.9771,266.3019,0.1275,-1.9730,-0.2406
77,-62.6656,129.3520,1.7463,267.5500,0.0747,-1.7447,-0.2446
76,-62.6807,128.6326,1.5335,268.8199,0.0316,-1.5331,-0.2385
75,-62.6864,128.1601,1.4469,269.7859,0.0054,-1.4469,-0.2172
74,-62.6960,127.8796,1.4582,270.9420,-0.0240,-1.4580,-0.2000
73,-62.7053,127.5993,1.4551,270.9006,-0.0229,-1.4549,-0.1807
72,-62.7142,127.3192,1.3554,258.7583,0.2642,-1.3294,-0.1395
