tab 	sites																								
site	location	dir_dec	dir_inc	dec_tc	inc_tc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	dir_dip	dip	note	citations
BD-1	Buttress	9.2	50.6	9.2	50.6	270	7	7	7	100	3.7	41.28333333	-73.03	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	0	0		10.1139/e76-063
BD-2	Buttress	0.3	36	0.3	36	470	8	8	8	100	2.8	41.33333333	-72.98	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	0	0		10.1139/e76-063
BD-3	Buttress	6.5	40	6.5	40	458	7	7	7	100	2.9	41.33333333	-72.98	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	0	0		10.1139/e76-063
BD-4	Buttress	26.2	51.6	26.2	51.6	46	14	14	14	100	6	41.28333333	-73.02	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	0	0		10.1139/e76-063
BD-5	Buttress	7.2	47.2	36.8	48.6	71	9	9	9	100	6.1	41.43333333	-72.92	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	115	25		10.1139/e76-063
BD-6	Buttress	1.1	55.1	41.1	56.9	109	9	9	9	100	4.4	41.43333333	-72.92	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	115	25		10.1139/e76-063
BD-7	Buttress	2.7	50.3	21.5	56.2	85	9	9	9	100	5.6	41.38333333	-72.87	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	120	25		10.1139/e76-063
BD-8	Buttress	0.1	40.5	23.3	44.3	141	14	14	14	100	3.3	41.4	-72.92	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	110	25		10.1139/e76-063
BD-9	Buttress	9.7	51.8	39.2	54.5	850	15	15	15	100	1.3	41.46666667	-72.88	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	120	25		10.1139/e76-063
BD-10	Buttress	0.8	41.1	19.4	44.6	103	13	13	13	100	4.1	41.51666667	-72.82	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	110	20		10.1139/e76-063
HD-1	Higganum	10.2	33	10.2	33	95	11	11	11	100	4.7	41.31666667	-72.77	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	0	0		10.1139/e76-063
HD-2	Higganum	6.3	35	6.3	35	39	7	7	7	100	9.8	41.35	-72.73	Intrusive:Igneous	Dike	Diabase	LT-T-Z::LP-T-DIR:LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	0	0		10.1139/e76-063
