tab 	sites																							
site	location	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_high	age_low	age_unit	dir_dip	dip	citations
BD-2	Barndoor	3.2	28.9	101	11	11	11	0	4.6	41.95	-72.8	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					110	15	10.2475/ajs.279.7.778
BD-3	Barndoor	14.7	31.9	424	11	11	11	0	2.2	41.87	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					110	20	10.2475/ajs.279.7.778
BD-4	Barndoor	11.5	22.4	59	6	6	6	0	7.4	41.87	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					110	20	10.2475/ajs.279.7.778
BD-5	Barndoor	356.8	31.2	78	8	8	8	0	6.3	41.82	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					120	20	10.2475/ajs.279.7.778
BD-6	Barndoor	6.1	32.9	29	9	9	9	0	9.7	41.82	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					120	20	10.2475/ajs.279.7.778
BD-7	Barndoor	358.7	28.3	857	8	8	8	0	1.9	41.82	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					120	20	10.2475/ajs.279.7.778
BD-8	Barndoor	10.6	37.7	56	8	8	8	0	7.4	41.82	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					120	20	10.2475/ajs.279.7.778
BD-9	Barndoor	1.9	40.6	132	5	5	5	0	6.7	41.82	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					120	20	10.2475/ajs.279.7.778
BD-10	Barndoor	355.9	29.6	77	9	9	9	0	5.9	41.82	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					120	20	10.2475/ajs.279.7.778
BD-11	Barndoor	8.9	29.2	354	7	7	7	0	3.2	41.78	-72.87	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:DE-BLANKET	g	i					120	20	10.2475/ajs.279.7.778
