tab 	sites																							
site	location	note	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	dip_trend	dip	group	citations
44	Gettysburg		13	32.5	28.4	4	4	4	100	17.5	39.95	-77.13	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	320	25	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
45	Gettysburg		2	23	355	5	5	5	100	4.2	39.85	-77.17	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	320	20	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
46	Gettysburg		1.5	31	1043.2	4	4	4	100	2.9	39.8	-77.21	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	295	20	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
47	Gettysburg		358.5	16.5	61	5	5	5	100	9.9	39.74	-77.28	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	310	25	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
48	Gettysburg	Too few samples				2	2	2	100				Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma			Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
84	Gettysburg		6.5	23	610.8	4	4	4	100	3.7	39.85	-77.16	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	320	20	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
85	Gettysburg		11	30	18.7	5	5	5	100	18.2	39.8	-77.34	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	325	15	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
86	Gettysburg	Badly large scatter				5	5	5	100				Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma			Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
87	Gettysburg	Too few samples				3	3	3	100				Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma			Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
88	Gettysburg		8.5	29.5	1228.9	5	5	5	100	2.2	39.83	-77.19	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	295	20	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
89	Gettysburg		347	51.5	37	5	5	5	100	12.7	40.11	-77.01	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	310	20	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
90	Gettysburg		14.5	14	11.9	5	5	5	100	23.1	40.1	-77.04	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	310	20	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
91	Gettysburg		353.5	11	164.3	5	5	5	100	6	40.12	-77.03	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	325	15	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
1	Yorkhaven	Too few samples				2	2	2	100				Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma			Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
2	Yorkhaven		353.5	9	154.2	4	4	4	100	7.4	40.2	-76.87	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	350	35	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
3	Yorkhaven		1.5	16.5	106	4	4	4	100	9	40.2	-76.87	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	350	35	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
4	Yorkhaven		2	30	92.7	4	4	4	100	9.6	40.2	-76.87	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	350	35	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
5	Yorkhaven		3	25.5	59.9	4	4	4	100	12	40.2	-76.87	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	350	35	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
6	Yorkhaven		3	31.5	87.1	4	4	4	100	9.9	40.2	-76.87	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	350	35	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
7	Yorkhaven		357.5	21.5	51.4	4	4	4	100	12.9	40.2	-76.87	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	350	35	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
8	Yorkhaven		1	16	61	5	5	5	100	9.9	40.2	-76.87	Intrusive:Igneous	Dike:Sill	Diabase	LT-AF-Z:LP-AF-DIR:DE-BLANKET	g	i	200	Ma	350	35	Gettysburg_Newark_York_Haven	10.1029/jb077i029p05673
