Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
123,49.4445,135.9478,4.3377,314.5316,-3.0420,-3.0922,0.3916
122,49.7255,135.8798,4.5742,311.2893,-3.0183,-3.4370,0.4166
121,50.0081,135.8133,4.8201,308.2984,-2.9873,-3.7828,0.4440
120,50.2238,135.5356,4.9959,307.0292,-3.0087,-3.9884,-0.4642
119,50.5161,134.9640,5.2250,313.5219,-3.5981,-3.7887,0.4814
118,50.7996,134.3861,5.5231,319.3724,-4.1918,-3.5963,0.5054
117,51.0743,133.8023,5.8803,324.5388,-4.7895,-3.4115,0.5352
116,51.3400,133.2126,6.2872,329.0377,-5.3913,-3.2346,0.5701
115,51.5967,132.6174,6.7354,332.9208,-5.9971,-3.0661,0.6090
114,51.8443,132.0168,7.2176,336.2552,-6.6066,-2.9063,0.6514
113,52.0828,131.4111,7.7278,339.1111,-7.2199,-2.7554,0.6965
112,52.3120,130.8007,8.2610,341.5547,-7.8366,-2.6138,0.7439
111,52.5320,130.1858,8.8135,343.6453,-8.4569,-2.4817,0.7931
110,52.7428,129.5668,9.3819,345.4342,-9.0803,-2.3595,0.8439
109,53.5806,129.1773,8.7360,341.2027,-8.2701,-2.8149,-0.7862
108,54.4121,128.7788,7.5399,343.5653,-7.2318,-2.1332,-0.6802
107,55.2372,128.3705,6.3703,346.8699,-6.2038,-1.4471,-0.5775
106,56.0558,127.9515,5.2415,351.7077,-5.1867,-0.7559,-0.4798
105,56.8677,127.5213,4.6820,349.4738,-4.6032,-0.8553,-0.4325
104,57.6729,127.0787,4.1388,346.6798,-4.0274,-0.9536,-0.3875
103,58.4713,126.6231,3.6154,343.1128,-3.4595,-1.0502,-0.3450
102,59.2626,126.1532,3.1173,338.4508,-2.8994,-1.1450,-0.3059
101,60.0468,125.6683,2.6532,332.2015,-2.3470,-1.2373,-0.2711
100,60.8237,125.1670,2.2380,323.6379,-1.8023,-1.3269,-0.2418
99,60.9018,123.9230,2.1994,329.9689,-1.9041,-1.1007,-0.2474
98,60.8411,124.7786,2.9541,318.6412,-2.2173,-1.9520,-0.3020
97,60.7744,125.6340,3.7890,312.4178,-2.5558,-2.7972,-0.3680
96,60.7018,126.4889,4.6628,308.7654,-2.9196,-3.6357,-0.4404
95,60.9860,125.8633,4.6714,306.9052,-2.8051,-3.7354,-0.4425
94,61.2702,125.2261,4.6822,305.0336,-2.6878,-3.8338,-0.4447
93,61.5543,124.5768,4.7574,301.5110,-2.4865,-4.0559,-0.4451
92,61.8381,123.9151,4.9151,296.5265,-2.1951,-4.3976,-0.4487
91,62.1215,123.2405,5.0969,291.7974,-1.8926,-4.7324,-0.4592
90,62.4044,122.5526,5.3005,287.3295,-1.5788,-5.0599,-0.4763
89,62.5823,121.7275,5.5434,283.9338,-1.3349,-5.3803,-0.5037
88,62.7577,120.8919,5.8167,280.1856,-1.0286,-5.7250,-0.5393
87,62.9305,120.0456,6.1024,276.6931,-0.7112,-6.0608,-0.5807
86,63.1007,119.1885,6.3638,274.0972,-0.4547,-6.3475,-0.6209
85,63.2680,118.3204,6.5302,273.2367,-0.3687,-6.5198,-0.6494
84,63.4324,117.4414,6.6790,272.4649,-0.2872,-6.6728,-0.6795
83,63.5144,116.3324,6.7229,272.3895,-0.2803,-6.7171,-0.6905
82,63.5085,115.0010,6.6667,273.0511,-0.3548,-6.6572,-0.6817
81,63.4923,113.6693,6.5745,273.8006,-0.4358,-6.5600,-0.6697
80,63.4657,112.3383,6.0658,275.4161,-0.5725,-6.0387,-0.6198
79,63.4063,110.8979,5.2203,278.6953,-0.7892,-5.1603,-0.5120
78,63.2824,109.4169,4.4046,284.2373,-1.0833,-4.2693,-0.4143
77,63.1474,107.9464,3.6676,292.4926,-1.4031,-3.3886,-0.3319
76,63.0671,106.5406,3.0473,303.3481,-1.6752,-2.5455,-0.2760
75,63.1453,105.2883,2.5253,314.9915,-1.7854,-1.7859,-0.2455
74,63.2297,104.0585,2.3227,329.2294,-1.9957,-1.1883,-0.2532
73,63.3044,102.8249,2.3462,343.9260,-2.2545,-0.6496,-0.2830
72,63.3693,101.5883,2.4437,358.6821,-2.4431,-0.0562,-0.3323
71,63.4355,100.4282,2.6110,12.3995,-2.5501,0.5607,-0.4004
70,63.6006,100.0982,2.7187,17.0043,-2.5999,0.7951,-0.4493
69,63.8172,100.3755,2.8104,19.4746,-2.6496,0.9370,-0.4532
68,64.0342,100.6546,2.9044,21.8651,-2.6954,1.0816,-0.4574
67,64.2517,100.9356,3.0674,20.0110,-2.8822,1.0497,-0.4542
66,64.4697,101.2185,3.3018,15.3344,-3.1842,0.8732,-0.4475
65,64.6881,101.5036,3.4520,12.4604,-3.3707,0.7448,-0.4455
64,64.9870,101.4806,3.5321,12.3379,-3.4505,0.7547,-0.4506
63,65.3125,101.3482,3.5909,11.8099,-3.5149,0.7349,-0.4514
62,65.5621,101.3509,3.7299,7.9726,-3.6939,0.5173,-0.4366
61,65.7358,101.4950,3.8968,4.6779,-3.8838,0.3178,-0.4212
60,65.9502,101.6607,4.0021,2.0230,-3.9997,0.1413,-0.4122
59,66.2120,102.2667,4.0558,0.5941,-4.0556,0.0421,-0.3922
58,66.4700,102.8877,4.0906,359.4320,-4.0904,-0.0405,-0.3785
57,66.8540,103.1251,3.9302,1.2975,-3.9292,0.0890,-0.3577
56,67.3414,103.0358,3.6532,4.6536,-3.6412,0.2964,-0.3302
55,67.7260,103.0444,3.4671,5.0661,-3.4535,0.3062,-0.3115
54,68.0966,103.0646,3.2955,5.4588,-3.2806,0.3135,-0.2978
53,68.4795,102.9092,3.3978,11.7757,-3.3263,0.6934,-0.3087
52,68.8871,102.4150,3.6626,21.4421,-3.4091,1.3389,0.3308
51,69.2285,102.0983,4.0714,28.9234,-3.5636,1.9691,0.3666
50,69.5446,101.8428,4.5462,34.3279,-3.7544,2.5638,0.4088
49,69.8554,102.2424,4.5361,35.8454,-3.6770,2.6564,-0.4078
48,70.1441,102.6950,4.5495,36.7826,-3.6437,2.7241,-0.4117
47,70.3839,103.3104,4.6842,34.7299,-3.8497,2.6686,-0.4300
46,70.6116,103.8063,4.8634,33.1166,-4.0734,2.6571,-0.4552
45,70.8266,103.8793,5.1406,32.6942,-4.3262,2.7768,-0.4919
44,71.0407,103.9567,5.4167,32.2979,-4.5787,2.8943,-0.5304
43,71.4548,104.9049,5.3532,30.1149,-4.6306,2.6859,-0.5363
42,71.9073,106.3184,5.2113,26.2229,-4.6750,2.3027,-0.5324
41,72.3405,107.9580,5.1042,21.6490,-4.7442,1.8830,-0.5298
40,72.7652,109.6508,5.1318,15.8969,-4.9355,1.4056,-0.5387
39,73.0013,110.4093,5.4208,10.9605,-5.3219,1.0307,-0.5644
38,73.2574,111.1641,5.6693,6.8759,-5.6286,0.6787,-0.5854
37,73.6942,111.7765,5.7298,3.6180,-5.7184,0.3616,-0.5859
36,74.1295,112.4089,5.7938,1.0262,-5.7929,0.1038,-0.5871
35,74.5631,113.0628,5.8559,358.9728,-5.8550,-0.1050,-0.5886
34,74.9950,113.7399,5.9294,357.0052,-5.9213,-0.3098,-0.5911
33,75.4825,114.2134,5.9436,355.4691,-5.9251,-0.4695,-0.5899
32,76.0159,114.5098,5.9060,354.2250,-5.8761,-0.5943,-0.5853
31,76.5485,114.8119,5.8725,352.9760,-5.8284,-0.7181,-0.5810
30,77.1774,114.8537,5.7283,352.1523,-5.6747,-0.7821,-0.5676
29,77.7774,114.2165,5.4966,354.0506,-5.4670,-0.5697,-0.5467
28,78.3173,113.5423,5.3420,356.1021,-5.3297,-0.3631,-0.5330
27,78.8354,112.8038,5.2224,358.2283,-5.2199,-0.1615,-0.5225
26,79.3336,112.2455,5.1367,0.0445,-5.1367,0.0040,-0.5143
25,79.8166,111.8452,5.0750,1.5806,-5.0731,0.1400,-0.5077
24,80.2984,111.3856,5.0196,3.1121,-5.0122,0.2725,-0.5017
23,80.7789,110.8578,4.9707,4.6256,-4.9545,0.4009,-0.4964
22,81.2579,110.2507,4.9286,6.1056,-4.9007,0.5242,-0.4918
21,81.7350,109.5511,4.8935,7.5331,-4.8512,0.6415,-0.4879
20,82.2175,108.8762,4.8659,7.7861,-4.8210,0.6592,-0.4832
19,82.6516,109.4295,4.7672,7.5094,-4.7263,0.6230,-0.4739
18,83.0845,110.0303,4.6683,7.2054,-4.6314,0.5855,-0.4646
17,83.5161,110.6876,4.5702,6.9246,-4.5369,0.5510,-0.4554
16,83.9463,111.4128,4.4731,6.6769,-4.4428,0.5201,-0.4462
15,84.3751,112.2209,4.4190,5.2964,-4.4002,0.4079,-0.4411
14,84.8023,113.1314,4.3764,3.8254,-4.3667,0.2920,-0.4369
13,85.2276,114.1710,4.3195,2.5580,-4.3152,0.1928,-0.4321
12,85.6508,115.3761,4.1835,1.8870,-4.1812,0.1378,-0.4231
11,86.0715,116.7982,4.0441,1.3760,-4.0430,0.0971,-0.4137
10,86.5201,117.3712,3.8739,1.0268,-3.8733,0.0694,-0.4040
9,86.8689,118.3247,3.4856,0.9397,-3.4851,0.0572,0.3652
8,87.2164,119.3967,3.0988,0.8517,-3.0984,0.0461,0.3263
7,87.5623,120.7175,2.7137,0.7633,-2.7134,0.0362,0.2876
6,87.9062,122.4077,2.3308,0.6745,-2.3306,0.0274,0.2491
5,88.3066,122.4204,1.8851,0.5800,-1.8850,0.0191,0.2053
4,88.7135,121.9350,1.4321,0.4845,-1.4321,0.0121,0.1611
3,89.0997,121.1086,1.0022,0.3807,-1.0022,0.0067,0.1179
2,89.4053,121.1630,0.6620,0.2521,-0.6620,0.0029,0.0780
1,89.7032,121.5287,0.3303,0.1260,-0.3303,0.0007,0.0389
0,90.0000,0.0000,0.0000,270.0000,0.0000,0.0000,0.0000
