Time (Ma),Lat,Lon,V mag (cm/yr),V azimuth (°),V colat (cm/yr),V lon (cm/yr),Ang V (°/Ma)
200,50.0834,168.1254,5.1949,208.0223,4.5859,-2.4407,0.5923
199,49.6714,167.7873,4.8188,211.3623,4.1148,-2.5080,-0.5661
198,49.2568,167.4592,4.4673,215.3304,3.6446,-2.5834,-0.5426
197,48.8397,167.1410,4.1466,220.0241,3.1754,-2.6667,-0.5221
196,48.4202,166.8323,3.8645,225.5286,2.7073,-2.7577,-0.5050
195,47.9984,166.5330,3.6299,231.8886,2.2403,-2.8560,-0.4916
194,47.5743,166.2428,3.4525,239.0689,1.7746,-2.9615,-0.4822
193,47.1480,165.9616,3.3414,246.9153,1.3101,-3.0738,-0.4771
192,46.7196,165.6892,3.3032,255.1431,0.8470,-3.1928,-0.4765
191,46.2892,165.4252,3.3404,263.3789,0.3852,-3.3181,-0.4802
190,45.8568,165.1697,3.4505,271.2494,-0.0752,-3.4497,-0.4883
189,45.8631,164.7246,3.5954,277.0393,-0.4406,-3.5683,-0.4968
188,45.8653,164.2795,3.7802,282.2766,-0.8038,-3.6937,-0.5080
187,45.8634,163.8344,3.9993,286.9304,-1.1646,-3.8260,-0.5217
186,45.8574,163.3894,4.2476,291.0129,-1.5231,-3.9651,-0.5379
185,45.8473,162.9446,4.5200,294.5637,-1.8790,-4.1110,-0.5562
184,45.8332,162.5001,4.8126,297.6352,-2.2323,-4.2636,-0.5764
183,45.8150,162.0560,5.1219,300.2835,-2.5828,-4.4229,0.5984
182,45.7928,161.6124,5.4449,302.5630,-2.9306,-4.5889,0.6220
181,45.7665,161.1695,5.7793,304.5232,-3.2754,-4.7615,0.6470
180,45.7361,160.7273,6.1232,306.2081,-3.6171,-4.9407,0.6732
179,46.0595,160.0871,5.4299,304.2145,-3.0532,-4.4902,0.6053
178,46.3758,159.4361,4.7402,301.8635,-2.5023,-4.0259,0.5378
177,46.6848,158.7743,4.0556,298.9818,-1.9651,-3.5477,0.4709
176,46.9866,158.1017,3.3790,295.2618,-1.4420,-3.0558,-0.4051
175,47.2808,157.4184,2.7158,290.1081,-0.9337,-2.5502,-0.3408
174,47.5674,156.7245,2.0782,282.2413,-0.4406,-2.0310,-0.2792
173,47.8461,156.0199,1.4986,268.6052,0.0365,-1.4982,-0.2225
172,48.1168,155.3049,1.0739,242.4261,0.4971,-0.9519,-0.1754
171,48.3794,154.5795,1.0192,202.6464,0.9407,-0.3925,-0.1476
170,48.6337,153.8439,1.3784,172.4918,1.3665,0.1801,-0.1502
169,48.5110,153.8681,1.2581,191.7407,1.2318,-0.2560,-0.1916
168,48.3884,153.8925,1.2968,212.2427,1.0968,-0.6919,-0.2530
167,48.2658,153.9171,1.4818,229.5376,0.9616,-1.1274,-0.3231
166,48.1431,153.9420,1.7677,242.1345,0.8262,-1.5627,-0.3973
165,48.0204,153.9672,2.1137,250.9308,0.6906,-1.9977,-0.4738
164,47.8978,153.9926,2.4949,257.1536,0.5547,-2.4324,-0.5516
163,47.7751,154.0182,2.8973,261.6920,0.4186,-2.8669,-0.6302
162,47.6524,154.0440,3.3130,265.1110,0.2824,-3.3010,-0.7094
161,47.5297,154.0701,3.7376,267.7634,0.1459,-3.7348,-0.7890
160,47.4070,154.0964,4.1683,269.8740,0.0092,-4.1683,-0.8688
159,47.4011,153.5504,4.5413,264.8647,0.4065,-4.5231,-0.9172
158,47.3877,153.0033,4.9302,260.9211,0.7780,-4.8684,-0.9606
157,47.3669,152.4552,5.2544,260.9573,0.8258,-5.1891,-0.9519
156,47.3386,151.9065,5.5824,260.8803,0.8848,-5.5119,-0.9446
155,47.3029,151.3575,5.9141,260.7082,0.9549,-5.8365,-0.9387
154,47.2596,150.8085,6.2491,260.4555,1.0362,-6.1626,-0.9344
153,47.2089,150.2597,6.5874,260.1342,1.1287,-6.4900,-0.9317
152,47.1507,149.7116,6.9287,259.7542,1.2324,-6.8183,-0.9307
151,47.0850,149.1643,7.2730,259.3239,1.3474,-7.1471,-0.9314
150,47.0118,148.6182,7.6518,258.1981,1.5650,-7.4901,-0.9395
149,46.5953,147.6903,6.8842,262.0798,0.9486,-6.8185,0.8038
148,46.1953,146.7773,6.1886,267.0092,0.3229,-6.1802,0.6809
147,46.0974,145.8259,5.5348,270.1315,-0.0127,-5.5348,0.5952
146,45.9819,144.8752,4.9184,274.4672,-0.3831,-4.9034,0.5138
145,45.8490,143.9260,4.3572,280.4160,-0.7877,-4.2854,0.4389
144,45.6987,142.9794,3.8789,288.4316,-1.2264,-3.6799,0.3740
143,45.5310,142.0362,3.6038,296.5256,-1.6094,-3.2244,0.3359
142,45.3461,141.0974,3.4373,306.1264,-2.0265,-2.7763,0.3119
141,45.1440,140.1636,3.4322,317.7255,-2.5396,-2.3088,0.3083
140,44.8392,139.2403,3.6794,329.6129,-3.1739,-1.8612,0.3345
139,45.1390,139.0565,3.5882,329.2563,-3.0839,-1.8343,0.3250
138,45.4399,138.8725,3.4967,328.8740,-2.9933,-1.8075,0.3157
137,45.7441,138.6951,3.4056,328.3695,-2.8997,-1.7860,0.3067
136,46.0487,138.5126,3.3362,328.9303,-2.8576,-1.7217,0.3001
135,46.3540,138.3272,3.2769,329.9944,-2.8377,-1.6387,0.2946
134,46.6602,138.1414,3.2069,331.0944,-2.8074,-1.5501,0.2885
133,46.8764,137.7808,3.1659,335.0327,-2.8701,-1.3363,0.2869
132,47.0992,137.4225,3.1377,338.9753,-2.9288,-1.1257,0.2881
131,47.3859,137.1009,3.0683,342.1218,-2.9201,-0.9420,0.2871
130,47.6724,136.7770,2.9815,342.2881,-2.8402,-0.9071,0.2830
129,47.8902,136.6147,3.1598,337.9020,-2.9277,-1.1887,0.2944
128,48.1086,136.4523,3.3476,333.9327,-3.0071,-1.4710,0.3076
127,48.3275,136.2897,3.5430,330.3259,-3.0784,-1.7540,0.3224
126,48.5949,136.1795,3.7210,326.1454,-3.0901,-2.0729,0.3361
125,48.8835,136.0926,3.9033,321.9144,-3.0723,-2.4077,0.3511
124,49.1650,136.0172,4.1119,318.0560,-3.0584,-2.7484,0.3695
