tab 	sites																					
site	location	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	PLon	PLat	age_unit	citations
PL4	Pelham-Loudville	10	30.1	316	3	3	3		6.9	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	86.8	62.5	Ma	10.1046/j.1365-246x.2000.00193.x
PL5	Pelham-Loudville	8.5	38	46	7	7	7		9	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	87.6	68	Ma	10.1046/j.1365-246x.2000.00193.x
PL6	Pelham-Loudville	0.4	28.3	143	6	6	6		5.6	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	106.7	62.4	Ma	10.1046/j.1365-246x.2000.00193.x
PL7	Pelham-Loudville	12.1	28.1	64	7	7	7		7.8	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	83.3	60.7	Ma	10.1046/j.1365-246x.2000.00193.x
PL8	Pelham-Loudville	4.3	26	78	17	17	17		4.1	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	121.7	59	Ma	10.1046/j.1365-246x.2000.00193.x
PL9	Pelham-Loudville	7.1	25.6	113	8	8	8		5.2	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	93.6	60.5	Ma	10.1046/j.1365-246x.2000.00193.x
PL10	Pelham-Loudville	14.1	24.6	40	6	6	6		12.3	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	80.5	59.3	Ma	10.1046/j.1365-246x.2000.00193.x
PL11	Pelham-Loudville	2.1	31.3	220	7	7	7		4.1	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	103	64.5	Ma	10.1046/j.1365-246x.2000.00193.x
PL12	Pelham-Loudville	6.3	34.4	59	5	5	5		16.9	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	93.2	66.1	Ma	10.1046/j.1365-246x.2000.00193.x
PL13	Pelham-Loudville	358	30.4	65	7	7	7		7.9	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	112.4	64.1	Ma	10.1046/j.1365-246x.2000.00193.x
