tab 	sites																						
site	location	note	demag_level	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	group	citations
3	Piedmont		15	9.5	0.5	101.5	7	7	7	0	6	34.3	-81.3	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
4	Piedmont		25	8.9	34.6	25.1	6	6	6	0	13.3	34.5	-81.3	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
5	Piedmont		30	6.3	27.6	17.3	5	8	8	0	19	34.2	-81.1	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
6	Piedmont		25	19.3	-54.1	5.1	6	6	6	0	32.8	34.2	-81.1	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
7	Piedmont		30	16.8	-12.4	8.8	6	7	7	0	24	34.2	-81.3	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
8	Piedmont		15	12.1	12.4	39.5	5	6	6	0	12.3	34.2	-81.3	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
9	Piedmont		20	40.8	35.8	71.6	6	6	6	0	8	34.2	-81.5	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
10	Piedmont		35	9.7	16.3	30.3	8	8	8	0	12.4	34.3	-81.3	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
11	Piedmont		30	340.9	6	26.6	5	7	7	0	15.1	34.3	-81.3	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
12	Piedmont		15	350.4	35.7	54	7	7	7	0	8.3	34.3	-81.4	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BLANKET	g	i	200	Ma	Piedmont_NW	10.1016/0040-1951(82)90191-3
